address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"229 STRAUSS, Buffalo",1008400002015000,100.84-2-15,"$25,000",10/23/2018,"$18,000",Residential - 1 Family ResOld style,30 x 132,1910,"1,238",3,1,0
"494 COLVIN, Buffalo",0784900005004000,78.49-5-4,"$205,000",10/23/2018,"$158,000",Residential - 2 Family ResOld style,33 x 120,1924,"3,318",6,2,0
"219 OXFORD, Buffalo",0898000002022000,89.80-2-22,"$35,000",10/23/2018,"$21,700",Vacant Land - Res vac land ,36 x 82,,,,,
"403 SWAN, Buffalo",1117200002010000,111.72-2-10,"$30,000",10/23/2018,"$55,000",Residential - 1 Family ResOld style,25 x 100,1900,"1,421",3,2,0
"11 GRANGER, Buffalo",0896200002014000,89.62-2-14,"$420,000",10/23/2018,"$484,000",Residential - 2 Family ResOld style,41.75 x 75,1910,"3,801",4,4,2
"91 STEVENS, Buffalo",1012200004035000,101.22-4-35,"$30,000",10/23/2018,"$30,000",Residential - 2 Family ResOld style,30 x 100,1920,"1,984",6,2,0
"192 CONGRESS, Buffalo",0887500007015000,88.75-7-15,"$35,000",10/23/2018,"$61,000",Residential - 1 Family ResOld style,30 x 132,1877,"1,505",3,1,0
"121 INDIAN CHURCH, Buffalo",1332700009001000,133.27-9-1,"$162,000",10/22/2018,"$80,000",Residential - 2 Family ResOld style,30 x 124,1905,"2,233",6,2,0
"422 BENZINGER, Buffalo",1122600005012000,112.26-5-12,"$105,000",10/22/2018,"$61,000",Residential - 2 Family ResOld style,25 x 134,1915,"1,840",4,2,0
"52 HAWLEY, Buffalo",0885900002014000,88.59-2-14,"$84,000",10/22/2018,"$114,000",Residential - Multiple resOld style,30 x 134.14,1950,"2,466",5,3,0
"59 LESLIE, Buffalo",1014000002056000,101.40-2-56,"$12,500",10/22/2018,"$28,000",Residential - 1 Family ResOld style,30 x 108,1919,"1,040",2,1,0
"136 ALDRICH, Buffalo",1338000002056000,133.80-2-56,"$117,000",10/22/2018,"$114,000",Residential - 1 Family ResCape cod,50 x 115,1950,"1,268",3,1.5,0
"1952 BAILEY, Buffalo",1015600005008000,101.56-5-8,"$84,500",10/22/2018,"$35,000",Residential - 2 Family ResOld style,30 x 130,1900,"2,928",6,2,0
"156 HEWITT, Buffalo",0798000006028000,79.80-6-28,"$45,000",10/22/2018,"$60,000",Residential - 1 Family ResOld style,34 x 101,1925,"1,247",3,1,0
"124 PRIES, Buffalo",1333000004058000,133.30-4-58,"$120,000",10/22/2018,"$66,000",Residential - 2 Family ResOld style,30 x 102,1910,"2,218",4,2,0
"134 ARMIN, Buffalo",1236500001039000,123.65-1-39,"$25,000",10/22/2018,"$110,000",Residential - 1 Family ResOld style,42.45 x 145,1920,"1,562",4,2,0
"15 ALBEMARLE, Buffalo",0772600002028000,77.26-2-28,"$76,000",10/22/2018,"$83,000",Residential - 1 Family ResOld style,36 x 116,1927,"1,352",3,1,0
"72 CENTRAL, Buffalo",1125600001004000,112.56-1-4,"$74,400",10/22/2018,"$47,000",Residential - 2 Family ResOld style,30 x 115,1898,"2,112",6,2,0
"58 EVELYN, Buffalo",0773400005034000,77.34-5-34,"$86,125",10/22/2018,"$81,000",Residential - 2 Family ResOld style,30 x 107,1925,"1,948",4,2,0
"82 SEVENTEENTH, Buffalo",0996000004014000,99.60-4-14,"$205,000",10/22/2018,"$211,000",Residential - 1 Family ResOld style,32.5 x 100,1893,"2,274",4,2,0
"437 STARIN, Buffalo",0785200007019000,78.52-7-19,"$289,900",10/22/2018,"$43,200",Vacant Land - Res vac land ,40 x 140,,,,,
"15 PARKVIEW, Buffalo",1332600001011000,133.26-1-11,"$70,000",10/19/2018,"$64,000",Residential - 2 Family ResOld style,30 x 169,1920,"1,920",6,2,0
"148 EVELYN, Buffalo",0774200003006110,77.42-3-6.11,"$270,000",10/19/2018,"$7,900",Vacant Land - Res vac land ,90 x 0,,,,,
"1775 HERTEL, Buffalo",0787500002011000,78.75-2-11,"$144,900",10/19/2018,"$129,000",Residential - 1 Family ResOld style,39 x 83,1910,996,2,2,0
"109 MARYLAND, Buffalo",1103500007018000,110.35-7-18,"$58,500",10/19/2018,"$52,000",Residential - 2 Family ResOld style,25.5 x 66,1877,"1,632",4,2,0
"347 SANDERS, Buffalo",0784100004015000,78.41-4-15,"$185,000",10/19/2018,"$146,000",Residential - 1 Family ResOld style,33 x 125,1926,"1,408",3,1,0
"17 KRAKOW, Buffalo",1233300005019000,123.33-5-19,"$70,000",10/19/2018,"$81,000",Residential - 2 Family ResOld style,32 x 116,1890,"2,472",6,2,0
"450 BRECKENRIDGE, Buffalo",0992800007024000,99.28-7-24,"$110,000",10/19/2018,"$156,000",Residential - 2 Family ResOld style,35 x 132,1890,"2,196",6,2,0
"33 FRENCH, Buffalo",1005200003004000,100.52-3-4,"$25,000",10/19/2018,"$40,000",Residential - 2 Family ResOld style,30 x 135,1900,"2,310",6,2,0
"73 RYAN ST, Buffalo",1237400003001000,123.74-3-1,"$146,000",10/19/2018,"$62,000",Residential - 2 Family ResOld style,35 x 110,1910,"2,288",6,2,0
"47 YALE, Buffalo",1238100008012000,123.81-8-12,"$90,000",10/19/2018,"$54,000",Residential - 2 Family ResOld style,40 x 163,1920,"2,610",6,2,0
"367 HUNTINGTON, Buffalo",0787500006020000,78.75-6-20,"$174,500",10/19/2018,"$150,000",Residential - 1 Family ResOld style,18.93 x 80,1920,"1,362",4,1,0
"495 WOODLAWN, Buffalo",1004300001014000,100.43-1-14,"$115,000",10/19/2018,"$42,000",Residential - 2 Family ResOld style,30 x 105,1910,"2,232",5,2,0
"732 PROSPECT, Buffalo",0996600003008000,99.66-3-8,"$36,000",10/19/2018,"$74,000",Residential - 1 Family ResOld style,25 x 100,1875,922,3,1,0
"133 BAYNES, Buffalo",0992800002030000,99.28-2-30,"$252,000",10/19/2018,"$142,000",Residential - 2 Family ResOld style,31.17 x 139,1900,"2,556",6,2,0
"467 WYOMING, Buffalo",0906300001010000,90.63-1-10,"$57,000",10/19/2018,"$72,000",Commercial - Apartment ,42 x 130,,,,,
"48 DOMEDION AVE, Buffalo",1014300002034000,101.43-2-34,"$56,000",10/19/2018,"$54,000",Residential - 2 Family ResOld style,60 x 115,1910,"2,108",6,2,0
"1527 CLINTON, Buffalo",1230600002004100,123.06-2-4.1,"$225,000",10/19/2018,"$200,000",Commercial - Det row bldg ,70 x 116,,,,,
"45 WRIGHT, Buffalo",0907500005041000,90.75-5-41,"$83,100",10/19/2018,"$64,000",Residential - 1 Family ResOld style,35 x 115,1928,"1,284",3,1,0
"31 HARVARD, Buffalo",1002400003041000,100.24-3-41,"$199,000",10/19/2018,"$233,000",Residential - 2 Family ResOld style,33 x 90,1918,"2,302",6,2,0
"119 ROOSEVELT, Buffalo",0904900002011000,90.49-2-11,"$40,000",10/19/2018,"$45,000",Residential - 1 Family ResOld style,30 x 106.9,1930,"1,214",3,1,0
"209 OGDEN SOUTH, Buffalo",1235100004025000,123.51-4-25,"$97,000",10/19/2018,"$109,000",Residential - 1 Family ResCape cod,48 x 0,1940,"1,479",3,1,0
"103 POMONA, Buffalo",1236500001029000,123.65-1-29,"$89,900",10/19/2018,"$94,000",Residential - 2 Family ResOld style,30 x 139.84,1910,"2,030",4,2,0
"115 HIGHLAND, Buffalo",1003800001020000,100.38-1-20,"$450,000",10/19/2018,"$467,000",Residential - 1 Family ResOld style,30 x 104.85,1900,"2,444",7,3.5,1
"415 SWAN, Buffalo",1117200002014000,111.72-2-14,"$50,000",10/19/2018,"$25,000",Residential - 2 Family ResOld style,25 x 100,1875,"2,646",6,2,0
"184 PARKRIDGE, Buffalo",0902300004005000,90.23-4-5,"$54,000",10/19/2018,"$54,000",Residential - 1 Family ResOld style,35 x 112,1930,"1,436",3,1.5,1
"899 DELAVAN EAST, Buffalo",0907900002001000,90.79-2-1,"$105,000",10/19/2018,"$110,000",Commercial - Det row bldg ,28 x 120,,,,,
"311 NORTH DR, Buffalo",0785000002038000,78.50-2-38,"$317,000",10/19/2018,"$235,000",Residential - 2 Family ResOld style,35 x 150,1928,"2,716",6,2,1
"197 CABLE, Buffalo",1234200002050000,123.42-2-50,"$60,000",10/19/2018,"$69,000",Residential - 2 Family ResOld style,30 x 100,1900,"1,976",4,2,0
"165 UNIVERSITY AVE, Buffalo",0793800003026000,79.38-3-26,"$185,000",10/19/2018,"$231,000",Residential - 1 Family ResOld style,40 x 120,1920,"2,059",4,2,1
"260 STEVENS, Buffalo",0907800003016000,90.78-3-16,"$20,000",10/19/2018,"$34,000",Residential - 1 Family ResOld style,30 x 101,1925,962,3,1,0
"34 WRIGHT, Buffalo",0907500004019000,90.75-4-19,"$90,000",10/18/2018,"$58,000",Residential - 2 Family ResOld style,36 x 124,1927,"2,008",4,2,0
"28 MANCHESTER, Buffalo",0887600004017000,88.76-4-17,"$431,500",10/18/2018,"$301,000",Residential - 2 Family ResOld style,35 x 136,1900,"3,222",6,3,2
"75 BRADLEY, Buffalo",0885900002004000,88.59-2-4,"$88,500",10/18/2018,"$89,000",Residential - 1 Family ResOld style,32 x 110,1900,"1,416",5,2,0
"40 BLAINE, Buffalo",0897400001055000,89.74-1-55,"$205,000",10/18/2018,"$205,000",Residential - 1 Family ResOld style,38 x 120,1920,"1,558",5,2,1
"477 GOETHE, Buffalo",1122700005005000,112.27-5-5,"$115,000",10/18/2018,"$57,000",Residential - 1 Family ResOld style,60 x 128,1870,"1,550",3,1,0
"214 PURDY, Buffalo",1003300003009000,100.33-3-9,"$20,000",10/18/2018,"$27,000",Residential - 1 Family ResOld style,30 x 100,1910,"1,315",3,1,0
"159 LADNER, Buffalo",1335400005041000,133.54-5-41,"$90,000",10/18/2018,"$98,000",Residential - 1 Family ResRanch,37.5 x 115,1955,968,3,1.5,0
"370 FRANKLIN, Buffalo",1113000001006100,111.30-1-6.1,"$1,200,000",10/18/2018,"$525,000",Commercial - Det row bldg ,118.9 x 173,,,,,
"128 STEVENS, Buffalo",1012200003016000,101.22-3-16,"$48,000",10/18/2018,"$29,000",Residential - 2 Family ResOld style,31 x 100,1900,"1,804",4,2,0
"142 KEHR, Buffalo",1015300002017000,101.53-2-17,"$36,000",10/18/2018,"$31,000",Residential - 1 Family ResOld style,28 x 170,1915,"1,371",4,1,0
"127 HIRSCHBECK, Buffalo",1018000004036000,101.80-4-36,"$20,000",10/18/2018,"$23,000",Residential - 2 Family ResOld style,30 x 110,1920,"1,650",4,2,0
"28 BEAUMARIS, Buffalo",0892100006034000,89.21-6-34,"$218,500",10/18/2018,"$189,000",Residential - 2 Family ResOld style,32.67 x 106,1915,"2,978",6,2,0
"853 PROSPECT, Buffalo",0995000008007000,99.50-8-7,"$279,000",10/17/2018,"$127,000",Residential - Multiple resOld style,27 x 165,1910,"2,896",6,2,0
"40 HEDLEY, Buffalo",0897400007045000,89.74-7-45,"$215,000",10/17/2018,"$170,000",Residential - 2 Family ResOld style,45 x 120,1908,"2,452",7,2,2
"20 SHEFFIELD, Buffalo",1335500002042000,133.55-2-42,"$161,000",10/17/2018,"$94,000",Residential - 2 Family ResOld style,41 x 115,1920,"2,738",6,2,0
"242 GORTON, Buffalo",0778100007044000,77.81-7-44,"$80,000",10/17/2018,"$51,000",Residential - 1 Family ResOld style,25 x 105,1910,"1,048",3,2,0
"1037 FERRY EAST, Buffalo",1013800004006000,101.38-4-6,"$68,000",10/17/2018,"$22,000",Residential - 2 Family ResOld style,32 x 135,1920,"2,088",6,2,0
"501 RILEY, Buffalo",1005100003004000,100.51-3-4,"$55,000",10/17/2018,"$50,000",Residential - 2 Family ResOld style,30 x 105,1900,"2,484",5,2,0
"361 UTICA EAST, Buffalo",1005000001006000,100.50-1-6,"$75,000",10/17/2018,"$34,000",Residential - 2 Family ResOld style,30 x 142,1910,"2,480",6,2,0
"134 CONGRESS, Buffalo",0888300008009000,88.83-8-9,"$172,000",10/17/2018,"$93,000",Residential - 2 Family ResOld style,30 x 126,1900,"2,216",6,2,0
"153 RYAN ST, Buffalo",1237400003021000,123.74-3-21,"$72,100",10/17/2018,"$59,000",Residential - 1 Family ResOld style,35 x 110,1930,"1,113",3,1,0
"14 HEDLEY, Buffalo",0897400007051000,89.74-7-51,"$140,000",10/17/2018,"$98,000",Residential - 1 Family ResOld style,40 x 120,1920,"1,126",4,2,1
"211 POTTERS, Buffalo",1335800004005000,133.58-4-5,"$232,400",10/17/2018,"$133,000",Residential - 1 Family ResOld style,40 x 140,1920,"1,566",4,2,1
"407 NEWBURGH, Buffalo",0906600008031000,90.66-8-31,"$50,000",10/17/2018,"$64,000",Residential - 1 Family ResOld style,35 x 110,1927,"1,352",3,1,0
"38 FRANKFORT, Buffalo",1013800006024000,101.38-6-24,"$30,000",10/16/2018,"$23,000",Residential - 1 Family ResOld style,30 x 117,1912,990,3,1,0
"101 OAK, Buffalo",1111300012001100,111.13-12-1.1,"$3,920,000",10/16/2018,"$3,900,000",Community Service - Health bldg ,263 x 282,,,,,
"136 PONTIAC ST, Buffalo",1234300007005000,123.43-7-5,"$155,000",10/16/2018,"$114,000",Residential - 1 Family ResCape cod,51 x 104,1955,"1,369",3,1,0
"2 YALE, Buffalo",1238100009039000,123.81-9-39,"$120,000",10/16/2018,"$78,000",Residential - 1 Family ResRanch,40 x 0,1965,"1,222",3,1,0
"227 FOREST, Buffalo",0886700001031100,88.67-1-31.1,"$84,900",10/16/2018,"$42,000",Residential - 1 Family ResOld style,51 x 149,1920,"1,148",3,2,0
"18 ABBOTT, Buffalo",1237000002034000,123.70-2-34,"$55,000",10/16/2018,"$89,000",Commercial - Bar ,30 x 330,,,,,
"191 WALLACE, Buffalo",0786700004024000,78.67-4-24,"$232,000",10/16/2018,"$205,000",Residential - 1 Family ResOld style,40 x 131,1922,"1,911",3,2,1
"84 FREUND, Buffalo",1012700001015000,101.27-1-15,"$44,000",10/16/2018,"$46,000",Residential - 1 Family ResOld style,30 x 122,1920,"1,410",5,1,0
"53 ARMIN, Buffalo",1236500002012000,123.65-2-12,"$102,000",10/15/2018,"$74,000",Residential - 2 Family ResOld style,30 x 119,1910,"2,034",6,2,0
"772 FOREST, Buffalo",0891400001023000,89.14-1-23,"$860,000",10/15/2018,"$779,000",Residential - 1 Family ResOld style,100 x 125,1927,"3,158",5,4,2
"6 ERNST, Buffalo",1013800003030000,101.38-3-30,"$43,000",10/15/2018,"$31,000",Residential - 1 Family ResOld style,30 x 83,1920,"1,442",3,2,0
"40 WATERFRONT CIR, Buffalo",1106800001007100306,110.68-1-7.1/306,"$285,000",10/15/2018,"$285,000",Residential - 1 Family ResOther style,4 x 0,1990,"1,110",1,1,1
"110 CHATHAM, Buffalo",0892900002010000,89.29-2-10,"$399,900",10/15/2018,"$282,000",Residential - 1 Family ResOld style,40 x 127,1926,"2,678",3,3.5,1
"800 FERRY WEST, Buffalo",10030000040010005B,100.30-4-1./5B,"$285,000",10/15/2018,"$109,000",Commercial - ApartmentOther style,2 x 388,1980,"1,019",1,1.5,0
"1054 KENSINGTON, Buffalo",0903200006042000,90.32-6-42,"$39,900",10/15/2018,"$56,000",Residential - 2 Family ResOld style,30 x 115,1917,"2,162",6,2,0
"121 FLEMING ST, Buffalo",1127700002006000,112.77-2-6,"$47,000",10/15/2018,"$41,000",Residential - 1 Family ResOld style,30 x 102,1900,"1,128",4,1,0
"83 BAYNES, Buffalo",0992800007036000,99.28-7-36,"$199,900",10/15/2018,"$135,000",Residential - 2 Family ResOld style,25 x 134,1880,"2,550",6,2,0
"82 PULASKI, Buffalo",1232600004011000,123.26-4-11,"$53,000",10/15/2018,"$60,000",Residential - 2 Family ResOld style,30 x 86,1920,"1,539",5,2,0
"155 ARKANSAS, Buffalo",0994300002006000,99.43-2-6,"$25,000",10/12/2018,"$47,000",Residential - 1 Family ResOld style,25 x 119,1900,"1,458",4,1.5,0
"812 NIAGARA, Buffalo",0996600002006000,99.66-2-6,"$231,000",10/12/2018,"$82,000",Residential - 1 Family ResOld style,36.5 x 132,1907,"2,749",5,1.5,1
"22 SUNNYSIDE, Buffalo",0776800009002000,77.68-9-2,"$59,900",10/12/2018,"$63,000",Residential - 2 Family ResOld style,40 x 0,1910,"1,600",5,2,0
"605 DOWNING, Buffalo",1338300001011000,133.83-1-11,"$173,000",10/12/2018,"$160,000",Residential - 1 Family ResCape cod,45.56 x 169,1958,"1,308",3,2,0
"62 WILKES, Buffalo",0907400005014000,90.74-5-14,"$56,500",10/12/2018,"$54,000",Residential - 2 Family ResOld style,31 x 126,1920,"1,952",4,2,0
"33 GALLATIN, Buffalo",0775700006008000,77.57-6-8,"$125,000",10/12/2018,"$66,000",Residential - 1 Family ResOld style,30 x 100,1920,"1,232",3,1,0
"582 WINSLOW, Buffalo",1013700002006110,101.37-2-6.11,"$60,000",10/12/2018,"$70,000",Industrial - Manufacture ,86 x 110,,,,,
"639 LINDEN AVE, Buffalo",0787100003046000,78.71-3-46,"$239,500",10/12/2018,"$210,000",Residential - 2 Family ResOld style,34 x 155,1923,"2,428",6,2,0
"339 MYSTIC, Buffalo",1237700006011000,123.77-6-11,"$42,000",10/12/2018,"$49,000",Residential - 2 Family ResOld style,45 x 120,1900,"2,675",9,3,0
"59 TIOGA, Buffalo",0787100002040000,78.71-2-40,"$251,000",10/12/2018,"$224,000",Residential - 2 Family ResOld style,33.33 x 155,1926,"2,917",6,2,0
"78 WHITFIELD, Buffalo",1334700004019000,133.47-4-19,"$159,500",10/12/2018,"$112,000",Residential - 1 Family ResOld style,34 x 119,1923,"1,689",4,2,0
"1971 NIAGARA, Buffalo",0883300001038000,88.33-1-38,"$60,000",10/12/2018,"$45,000",Residential - 1 Family ResOld style,33 x 99,1900,"2,107",4,1,0
"175 TEXAS, Buffalo",0908100004038000,90.81-4-38,"$48,000",10/11/2018,"$41,000",Residential - 2 Family ResCape cod,47 x 100,1944,"1,225",3,2,0
"155 MINERAL SPRING, Buffalo",1237400002022000,123.74-2-22,"$56,000",10/11/2018,"$83,000",Residential - 2 Family ResOld style,31.84 x 83,1900,"1,936",5,2,0
"1891 NIAGARA, Buffalo",0884100002025000,88.41-2-25,"$55,000",10/11/2018,"$45,000",Residential - 2 Family ResOld style,32 x 88,1900,"2,278",5,2,0
"230 ABBOTT, Buffalo",1237900004028000,123.79-4-28,"$100,000",10/11/2018,"$81,000",Residential - 1 Family ResOld style,35 x 150,1870,"1,134",3,1,0
"103 CONGRESS, Buffalo",0888300007030000,88.83-7-30,"$55,000",10/11/2018,"$94,000",Residential - 1 Family ResOld style,40 x 33,1900,"1,388",3,1,0
"47 DEMPSTER, Buffalo",1125700004012000,112.57-4-12,"$152,000",10/11/2018,"$120,000",Residential - 1 Family ResColonial,60 x 125,1994,"1,600",3,1.5,1
"92 STEVENSON, Buffalo",1238000001017000,123.80-1-17,"$136,000",10/11/2018,"$142,000",Residential - 2 Family ResOld style,37 x 102,1920,"2,800",6,2,0
"347 DEARBORN, Buffalo",0882500007021000,88.25-7-21,"$17,000",10/11/2018,"$46,000",Residential - 1 Family Res ,33 x 82.5,,,,,
"93 DUERSTEIN, Buffalo",1333500003023000,133.35-3-23,"$100,000",10/11/2018,"$90,000",Residential - 2 Family ResOld style,35 x 107,1891,"3,003",6,2,0
"79 MEECH, Buffalo",0897400003002000,89.74-3-2,"$182,000",10/11/2018,"$177,000",Residential - 1 Family ResOld style,30 x 118,1911,"1,765",6,2,0
"446 LINDEN AVE, Buffalo",0788000001035000,78.80-1-35,"$235,000",10/10/2018,"$186,000",Residential - 2 Family ResOld style,35 x 149,1935,"1,952",4,2,0
"77 KING, Buffalo",1122600005004000,112.26-5-4,"$67,000",10/10/2018,"$78,000",Residential - 1 Family ResContemporary,39.37 x 177,1980,"1,351",2,1,0
"42 CARLYLE, Buffalo",1337400003019000,133.74-3-19,"$177,000",10/10/2018,"$118,000",Residential - 2 Family ResOld style,48 x 158,1900,"2,260",5,2,0
"146 HUNTINGTON, Buffalo",0787600004009000,78.76-4-9,"$208,000",10/10/2018,"$187,000",Residential - 1 Family ResOld style,40 x 70,1920,"1,456",3,1,1
"289 JEWETT AVE, Buffalo",0904500002014000,90.45-2-14,"$40,000",10/10/2018,"$30,000",Residential - 2 Family ResOld style,30 x 120,1910,"2,398",6,2,0
"367 SHIRLEY, Buffalo",0798100001018000,79.81-1-18,"$30,000",10/10/2018,"$44,000",Residential - 1 Family ResOld style,35 x 108,1925,"1,259",3,1,0
"1920 NIAGARA, Buffalo",0883200002014000,88.32-2-14,"$502,000",10/10/2018,"$560,000",Commercial - Apartment ,38.5 x 140,,,,,
"821 COLUMBUS PKWY, Buffalo",0996600001012000,99.66-1-12,"$230,000",10/10/2018,"$144,000",Residential - 2 Family ResOld style,31.5 x 70,1900,"2,465",6,2,0
"219 KEYSTONE, Buffalo",1015700004028100,101.57-4-28.1,"$49,000",10/10/2018,"$39,000",Residential - 1 Family ResOld style,30 x 302,1927,"1,302",4,1.5,0
"189 FENTON, Buffalo",1235000004031000,123.50-4-31,"$110,000",10/10/2018,"$90,000",Residential - 1 Family ResCape cod,45 x 101,1950,"1,208",3,1,0
"128 NORWOOD, Buffalo",1005300001027000,100.53-1-27,"$440,000",10/9/2018,"$381,000",Residential - 1 Family ResOld style,30 x 107,1890,"2,732",4,3,0
"97 WHITFIELD, Buffalo",1335600001003000,133.56-1-3,"$113,000",10/9/2018,"$92,000",Residential - 1 Family ResOld style,40 x 119,1948,"1,066",3,1,0
"114 MORRIS AVE, Buffalo",0788300003007000,78.83-3-7,"$592,000",10/9/2018,"$459,000",Residential - 1 Family ResOld style,60 x 182,1910,"4,043",4,3.5,2
"44 NORTH DR, Buffalo",0786800001001000,78.68-1-1,"$295,000",10/9/2018,"$232,000",Residential - 1 Family ResOld style,40 x 125,1925,"1,796",3,1.5,0
"93 ECKHERT, Buffalo",0773200004031000,77.32-4-31,"$77,000",10/9/2018,"$58,000",Residential - 2 Family ResOld style,30 x 118,1915,"1,636",4,2,0
"162 RIVERSIDE, Buffalo",0774800006001000,77.48-6-1,"$132,000",10/9/2018,"$68,000",Residential - 2 Family ResOld style,30 x 108,1900,"2,156",6,2,0
"212 ABBOTT, Buffalo",1237900002029000,123.79-2-29,"$125,001",10/9/2018,"$124,000",Residential - 2 Family ResOld style,42.54 x 155,1910,"2,130",5,2,0
"61 TEXAS, Buffalo",1012500007044000,101.25-7-44,"$70,000",10/9/2018,"$32,000",Residential - 1 Family ResOld style,30 x 141,1925,"1,229",4,1,0
"216 SKILLEN, Buffalo",0773400004016000,77.34-4-16,"$50,211",10/9/2018,"$85,000",Residential - 2 Family ResOld style,37.5 x 107,1925,"2,440",6,2,0
"15 CHADDUCK, Buffalo",0774100003042000,77.41-3-42,"$57,000",10/9/2018,"$63,000",Residential - 1 Family ResOld style,30 x 0,1920,"1,215",3,1,0
"85 MINNESOTA, Buffalo",0797000001018000,79.70-1-18,"$97,500",10/9/2018,"$97,000",Residential - 2 Family ResOld style,40 x 137,1920,"2,694",6,2,0
"110 MASTEN, Buffalo",1006400003024000,100.64-3-24,"$62,000",10/9/2018,"$32,000",Residential - 1 Family ResOld style,30 x 125,1890,"1,113",3,1,0
"176 DELAVAN WEST, Buffalo",0888200003026000,88.82-3-26,"$75,000",10/9/2018,"$79,000",Residential - 2 Family ResOld style,27 x 151,1900,"2,068",4,2,0
"1311 MICHIGAN, Buffalo",1005600003041110,100.56-3-41.11,"$97,750",10/9/2018,"$62,000",Residential - 1 Family ResRanch,50 x 100,1995,960,2,1,0
"101 REGENT, Buffalo",1124100003014000,112.41-3-14,"$92,900",10/9/2018,"$56,000",Residential - 1 Family ResOld style,34 x 125,1900,987,4,1,0
"142 KRETTNER, Buffalo",1115800006006000,111.58-6-6,"$29,500",10/9/2018,"$18,000",Residential - 2 Family ResOld style,30 x 105,1900,"1,679",6,2,0
"192 WEAVER, Buffalo",1128300001008000,112.83-1-8,"$25,000",10/5/2018,"$60,000",Residential - 2 Family ResOld style,35 x 112,1920,"2,232",5,2,0
"52 HARDING, Buffalo",1335500005031000,133.55-5-31,"$167,500",10/5/2018,"$115,000",Residential - 2 Family ResOld style,40 x 113,1920,"2,636",6,2,0
"1088 DELAWARE, Buffalo",100390000103200015I,100.39-1-32./15I,"$180,000",10/5/2018,"$74,000",Commercial - ApartmentOther style,2 x 215,1990,716,1,1,0
"53 HARVEST, Buffalo",0784300001031000,78.43-1-31,"$190,000",10/5/2018,"$126,000",Residential - 1 Family ResCape cod,60 x 150,1952,"1,428",3,1,0
"29 AVERY, Buffalo",0784700002025000,78.47-2-25,"$170,000",10/5/2018,"$123,000",Residential - 2 Family ResOld style,34 x 98,1927,"1,936",4,2,0
"251 POTTERS, Buffalo",1335800004015000,133.58-4-15,"$195,000",10/5/2018,"$144,000",Residential - 2 Family ResOld style,40 x 140,1920,"2,345",4,2,1
"8 TILLINGHAST, Buffalo",0788100003022000,78.81-3-22,"$350,000",10/5/2018,"$248,000",Residential - 1 Family ResOld style,27.1 x 0,1924,"1,844",4,2.5,1
"486 DOAT, Buffalo",1015100001021000,101.51-1-21,"$42,000",10/5/2018,"$45,000",Residential - 2 Family ResOld style,38.02 x 120,1922,"1,651",4,2,0
"125 LUDINGTON, Buffalo",1125700002004000,112.57-2-4,"$69,800",10/5/2018,"$51,000",Residential - 1 Family ResOld style,28.15 x 120,1910,"1,055",4,1,0
"411 CONNECTICUT, Buffalo",0996000009002110,99.60-9-2.11,"$152,500",10/5/2018,"$181,000",Residential - 1 Family ResTownhouse,35.6 x 110,1994,"1,260",3,1.5,0
"454 LISBON, Buffalo",0796500005024000,79.65-5-24,"$69,000",10/5/2018,"$45,000",Residential - 1 Family ResOld style,30 x 103,1925,"1,098",3,1,0
"643 NORFOLK, Buffalo",0904800001049000,90.48-1-49,"$37,000",10/5/2018,"$37,000",Residential - 1 Family ResOld style,30 x 108,1925,"1,435",4,1,0
"91 GREELEY, Buffalo",0776000004018000,77.60-4-18,"$145,000",10/5/2018,"$63,000",Residential - 2 Family ResOld style,35 x 104.5,1930,"2,012",6,2,0
"188 ROEBLING, Buffalo",0907300004011000,90.73-4-11,"$85,000",10/5/2018,"$54,000",Residential - 2 Family ResOld style,35 x 110,1920,"2,159",4,2,0
"268 MOSELLE, Buffalo",1014600002035000,101.46-2-35,"$45,000",10/5/2018,"$44,000",Residential - 2 Family ResOld style,29 x 96,1920,"1,410",5,2,0
"514 GLENWOOD, Buffalo",1004300002053000,100.43-2-53,"$60,000",10/5/2018,"$32,000",Residential - 1 Family ResOld style,30 x 116,1920,"1,690",6,2,0
"42 RUGBY, Buffalo",0787200004021000,78.72-4-21,"$255,000",10/5/2018,"$238,000",Residential - 2 Family ResOld style,35 x 130,1920,"2,810",6,2,0
"136 WRIGHT, Buffalo",0906700002006000,90.67-2-6,"$50,000",10/5/2018,"$51,000",Residential - 1 Family ResBungalow,35 x 124,1925,"1,063",3,1,1
"522 DARTMOUTH, Buffalo",0798200002043000,79.82-2-43,"$44,000",10/5/2018,"$46,000",Residential - 1 Family ResOld style,32 x 108,1900,"1,079",3,1.5,0
"1088 DELAWARE, Buffalo",10039000010320005F,100.39-1-32./5F,"$370,000",10/5/2018,"$107,000",Commercial - ApartmentOther style,2 x 215,1990,"1,043",2,2,0
"202 EDEN, Buffalo",1337200002043000,133.72-2-43,"$135,000",10/5/2018,"$132,000",Residential - 1 Family ResCape cod,47 x 125,1945,"1,356",3,1,0
"38 CORNWALL, Buffalo",1013100004011000,101.31-4-11,"$30,000",10/5/2018,"$36,000",Residential - 1 Family ResOld style,30 x 118,1917,"1,289",4,1,0
"424 CUMBERLAND, Buffalo",1333300005024000,133.33-5-24,"$250,000",10/5/2018,"$151,000",Residential - 1 Family ResOld style,36 x 150,1900,"2,385",4,1.5,1
