address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"167 LAIRD, Buffalo",0774100004043000,77.41-4-43,"$64,500",5/26/2006,"$99,000",Residential - 2 Family ResOld style,28 x 115,1922,"2,112",4,2,0
"70 AVERY, Buffalo",0784700003007000,78.47-3-7,"$54,000",5/26/2006,"$157,000",Residential - 2 Family ResOld style,34 x 98,1927,"1,934",4,2,0
"90 CAZENOVIA, Buffalo",1333300005015000,133.33-5-15,"$107,000",5/26/2006,"$168,000",Residential - 1 Family ResOld style,52.5 x 160,1900,"2,008",4,1.5,0
"191 COMMONWEALTH, Buffalo",0785600004017000,78.56-4-17,"$132,000",5/26/2006,"$218,000",Residential - 2 Family ResOld style,35 x 135,1920,"2,416",7,3,0
"127 WINSPEAR WEST, Buffalo",0795400001049000,79.54-1-49,"$68,000",5/25/2006,"$98,000",Residential - 1 Family ResOld style,35.5 x 109.52,1925,"1,326",4,1,0
"17 ST ANDREWS, Buffalo",1006200001013000,100.62-1-13,"$389,850",5/25/2006,"$475,000",Residential - 1 Family ResTownhouse,39.67 x 96.75,1963,"2,480",4,2,2
"800 FERRY WEST, Buffalo",10030000040010005A,100.30-4-1./5A,"$127,500",5/25/2006,"$116,000",Commercial - ApartmentOther style,2 x 388,1980,"1,087",1,1.5,0
"1088 DELAWARE, Buffalo",100390000103200012FG,100.39-1-32./12FG,"$480,000",5/25/2006,"$114,000",Commercial - ApartmentOther style,2 x 215,1990,"1,108",1,2,0
"207 WOODSIDE, Buffalo",1335600003033000,133.56-3-33,"$69,800",5/25/2006,"$125,000",Residential - 1 Family ResOld style,70 x 120,1898,"1,747",4,1,0
"17 COBURG, Buffalo",0784300003019000,78.43-3-19,"$119,000",5/24/2006,"$134,000",Residential - 1 Family ResCape cod,46.5 x 112,1950,"1,643",4,1,0
"59 ST JAMES, Buffalo",0897800001006000,89.78-1-6,"$178,000",5/24/2006,"$348,000",Residential - 2 Family ResOld style,33.66 x 120,1914,"2,475",6,2,1
"40 WATERFRONT CIR, Buffalo",1106800001007100404,110.68-1-7.1/404,"$520,000",5/24/2006,"$802,000",Residential - 1 Family ResOther style,4 x 0,1990,"2,973",3,2,1
"175 OGDEN SOUTH, Buffalo",1235900002001000,123.59-2-1,"$64,000",5/23/2006,"$96,000",Residential - 1 Family ResCape cod,50 x 95,1961,"1,323",3,1,0
"641 SYCAMORE, Buffalo",1113500001019150,111.35-1-19.15,"$62,500",5/23/2006,"$114,000",Residential - 1 Family ResColonial,44.46 x 119.36,1992,"1,050",3,1,0
"250 SARANAC, Buffalo",0784900004022000,78.49-4-22,"$92,000",5/23/2006,"$250,000",Residential - 2 Family ResOld style,35 x 175,1922,"2,528",6,2,0
"337 NORTH PARK, Buffalo",0784900002036000,78.49-2-36,"$120,000",5/23/2006,"$227,000",Residential - 2 Family ResOld style,35 x 160,1926,"2,560",6,2,0
"1630 BROADWAY, Buffalo",1122400006021000,112.24-6-21,"$20,000",5/22/2006,"$105,000",Commercial - Det row bldg ,58 x 130,,,,,
"137 GOETHE, Buffalo",1125100006005000,112.51-6-5,"$76,000",5/22/2006,"$123,000",Residential - Multiple resOld style,60 x 128.02,1910,"1,800",3,1.5,0
"30 LITTLEFIELD, Buffalo",1015900003025000,101.59-3-25,"$54,000",5/22/2006,"$36,000",Residential - 1 Family ResOld style,30 x 100,1920,"1,030",3,1.5,0
"134 CHADDUCK, Buffalo",0774100004001000,77.41-4-1,"$54,000",5/22/2006,"$74,000",Residential - 1 Family ResOld style,31.4 x 105,1920,"1,342",5,1.5,0
"132 POMONA, Buffalo",1235700002031000,123.57-2-31,"$55,000",5/19/2006,"$74,000",Residential - 1 Family ResOld style,32 x 139,1920,"1,098",3,1,0
"282 HOLLY, Buffalo",1234200004014000,123.42-4-14,"$81,620",5/19/2006,"$103,000",Residential - 1 Family ResOld style,35 x 101,1937,"1,344",3,1.5,0
"35 WOODLEY, Buffalo",0797500004015000,79.75-4-15,"$150,000",5/19/2006,"$179,000",Residential - 1 Family ResColonial,50 x 140,1937,"1,988",4,1.5,0
"42 ASHTON, Buffalo",1337000002015000,133.70-2-15,"$69,850",5/19/2006,"$93,000",Residential - 1 Family ResOld style,30 x 120,1930,"1,724",3,2,0
"751 ASHLAND, Buffalo",0896900003032000,89.69-3-32,"$154,500",5/19/2006,"$209,000",Residential - 3 Family ResOld style,31 x 130,1925,"2,708",6,2,0
"217 MERRIMAC, Buffalo",0794500005024000,79.45-5-24,"$70,000",5/19/2006,"$110,000",Residential - 1 Family ResOld style,30 x 132,1924,"1,464",4,1,1
"116 ROTHER, Buffalo",1017700005028000,101.77-5-28,"$25,000",5/18/2006,"$29,000",Residential - 2 Family ResOld style,61.6 x 97,1930,"2,430",6,2,0
"1 SHIP CANAL PKWY, Buffalo",1321900002001100,132.19-2-1.1,"$475,000",5/18/2006,"$6,000,000",Industrial - Manufacture ,1526.77 x 0,,,,,
"452 WINSPEAR, Buffalo",0796500001032000,79.65-1-32,"$73,100",5/17/2006,"$72,000",Residential - 2 Family ResOld style,32 x 126,1927,"2,180",4,2,0
"65 PAWNEE, Buffalo",1236500003005000,123.65-3-5,"$63,000",5/17/2006,"$102,000",Residential - 2 Family ResOld style,35 x 100,1922,"1,872",3,2,0
"1907 HERTEL, Buffalo",0787600003008000,78.76-3-8,"$150,000",5/16/2006,"$190,000",Residential - 1 Family ResOld style,50 x 70,1925,"1,779",3,1.5,1
"184 NORWOOD, Buffalo",1004500001019000,100.45-1-19,"$115,000",5/16/2006,"$316,000",Residential - 2 Family ResOld style,33.33 x 171,1900,"2,817",5,2,0
"174 LEXINGTON, Buffalo",1003800005001000,100.38-5-1,"$155,500",5/16/2006,"$381,000",Residential - 2 Family ResOld style,33.75 x 118,1878,"3,189",6,3,0
"143 RAMSDELL, Buffalo",0783800001018000,78.38-1-18,"$65,000",5/16/2006,"$124,000",Residential - 1 Family ResCape cod,40 x 120,1952,"1,259",5,1,0
"116 HUDSON, Buffalo",1102700008025000,110.27-8-25,"$15,000",5/15/2006,"$53,000",Residential - 2 Family ResOld style,26 x 50,1900,"1,225",3,2,0
"61 GITTERE, Buffalo",1017800005042000,101.78-5-42,"$19,000",5/15/2006,"$2,000",Vacant Land - Res vac land ,30 x 107,,,,,
"107 WINSPEAR WEST, Buffalo",0795400001043000,79.54-1-43,"$70,000",5/15/2006,"$101,000",Residential - 1 Family ResOld style,34 x 0,1925,"1,321",4,1.5,0
"545 WILLETT, Buffalo",1128300003016000,112.83-3-16,"$35,000",5/15/2006,"$63,000",Residential - 2 Family ResOld style,52.5 x 113,1921,"1,702",4,2,0
"37 MONTROSE, Buffalo",0793800006020000,79.38-6-20,"$58,700",5/15/2006,"$136,000",Residential - 1 Family ResOld style,36 x 100,1920,837,3,1,0
"231 SHIP CANAL PKWY, Buffalo",1322000001011000,132.20-1-11,"$12,468,000",5/12/2006,"$11,000,000",Industrial - Manufacture ,252.47 x 0,,,,,
"66 GARVEY, Buffalo",1333800001038000,133.38-1-38,"$67,000",5/12/2006,"$92,000",Residential - 2 Family ResCape cod,47 x 100,1950,"2,086",5,2,0
"220 TUSCARORA, Buffalo",1336700002041000,133.67-2-41,"$88,000",5/12/2006,"$173,000",Residential - 1 Family ResOld style,37 x 146,1927,"2,004",5,2,0
"442 AUBURN, Buffalo",0992800003025000,99.28-3-25,"$83,000",5/12/2006,"$227,000",Residential - 2 Family ResOld style,28 x 95,1900,"2,264",6,2,0
"82 SYCAMORE, Buffalo",1114700002008100,111.47-2-8.1,"$45,000",5/12/2006,"$70,000",Commercial - Det row bldg ,74 x 102.46,,,,,
"608 MICHIGAN, Buffalo",1114700002007000,111.47-2-7,"$30,000",5/12/2006,"$51,000",Commercial - Det row bldg ,37.4 x 100,,,,,
"48 IRVING, Buffalo",1007000006010000,100.70-6-10,"$315,000",5/12/2006,"$436,000",Residential - 1 Family ResOld style,40 x 100,1888,"2,598",3,2.5,3
"44 BOLTON, Buffalo",1225000003007000,122.50-3-7,"$15,000",5/12/2006,"$46,000",Residential - 2 Family ResOld style,30 x 107,1890,"2,772",5,2,0
"29 CLIFF, Buffalo",1233300002023000,123.33-2-23,"$49,900",5/11/2006,"$69,000",Residential - 1 Family ResOld style,30 x 100,1920,"1,164",3,1,0
"350 LINWOOD AVE, Buffalo",1003900001015000,100.39-1-15,"$210,000",5/11/2006,"$298,000",Residential - 3 Family ResOld style,50 x 195,1894,"2,737",5,3,2
"567 CRESCENT, Buffalo",0788200005023000,78.82-5-23,"$160,000",5/11/2006,"$304,000",Residential - 2 Family ResOld style,40 x 140,1920,"2,898",6,2,0
"55 TIOGA, Buffalo",0787100002039000,78.71-2-39,"$82,900",5/11/2006,"$202,000",Residential - 2 Family ResOld style,33.33 x 155,1920,"2,460",6,2,0
"11 CRESCENT, Buffalo",0895800003024000,89.58-3-24,"$121,500",5/11/2006,"$204,000",Residential - 1 Family ResOld style,64.23 x 44,1910,"1,904",3,1,1
"877 DELAWARE, Buffalo",1005400003005000,100.54-3-5,"$520,000",5/9/2006,"$756,000",Residential - 2 Family ResMansion,60 x 201.22,1906,"8,240",8,7.5,7
"81 LARCHMONT, Buffalo",0793900001009000,79.39-1-9,"$157,500",5/9/2006,"$188,000",Residential - 1 Family ResOld style,40 x 120,1925,"1,938",4,1.5,1
"197 VIRGIL, Buffalo",0784800004031000,78.48-4-31,"$121,900",5/9/2006,"$220,000",Residential - 2 Family ResOld style,33.5 x 150,1926,"2,288",6,2,0
"104 PECK, Buffalo",1123100003006000,112.31-3-6,"$15,000",5/9/2006,"$2,000",Vacant Land - Res vac land ,30 x 107.3,,,,,
